연도,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,POS_EN
2023,119,강한울,삼성,3루수,58,48,415.6666666666667,6,0,34,77,9,0.949,0,0,0,,3B
2023,119,오승환,삼성,투수,58,1,62.66666666666666,0,0,4,12,0,1.0,0,0,0,,P
2023,119,김재환,두산,좌익수,58,55,440.0,1,0,114,3,0,0.992,0,0,0,,LF
2023,119,김인환,한화,1루수,58,48,420.3333333333333,5,0,357,30,29,0.987,0,0,0,,1B
2023,124,하영민,키움,투수,57,0,52.333333333333336,3,0,1,11,1,0.8,0,0,0,,P
2023,124,박명근,LG,투수,57,1,51.333333333333336,0,0,2,4,0,1.0,0,0,0,,P
2023,124,함덕주,LG,투수,57,0,55.66666666666666,0,0,1,8,0,1.0,0,0,0,,P
2023,124,안치영,KT,우익수,57,31,300.0,2,0,53,2,0,0.965,0,0,0,,RF
2023,124,하준영,NC,투수,57,0,49.0,0,1,3,13,0,1.0,0,0,0,,P
2023,129,문성주,LG,우익수,56,43,386.6666666666667,2,0,97,4,0,0.981,0,0,0,,RF
2023,129,장현식,KIA,투수,56,0,51.333333333333336,0,0,0,8,1,1.0,0,0,0,,P
2023,129,도태훈,NC,3루수,56,36,347.6666666666667,3,0,26,62,7,0.967,0,0,0,,3B
2023,129,우규민,삼성,투수,56,0,43.0,0,1,1,8,0,1.0,0,0,0,,P
2023,133,조형우,SSG,포수,55,38,312.6666666666667,5,3,258,30,5,0.983,4,29,15,34.1,C
2023,133,김성진,키움,투수,55,0,47.0,1,0,1,5,0,0.857,0,0,0,,P
2023,133,변우혁,KIA,1루수,55,44,358.0,5,0,311,24,42,0.985,0,0,0,,1B
2023,133,황대인,KIA,1루수,55,50,389.3333333333333,3,0,355,33,34,0.992,0,0,0,,1B
2023,133,박상원,한화,투수,55,0,61.66666666666666,1,0,3,14,1,0.944,0,0,0,,P
2023,133,주현상,한화,투수,55,0,59.66666666666666,0,0,2,5,0,1.0,0,0,0,,P
2023,139,양현,키움,투수,54,0,57.0,0,1,3,11,2,1.0,0,0,0,,P
2023,139,소크라테스,KIA,우익수,54,22,261.0,3,0,63,1,0,0.955,0,0,0,,RF
2023,139,문현빈,한화,2루수,54,42,358.0,5,0,77,102,17,0.973,0,0,0,,2B
2023,142,최민준,SSG,투수,53,0,60.0,0,0,3,6,1,1.0,0,0,0,,P
2023,142,이학주,롯데,3루수,53,13,162.66666666666666,3,0,16,35,4,0.944,0,0,0,,3B
2023,142,이학주,롯데,유격수,53,16,178.33333333333334,5,0,30,56,11,0.945,0,0,0,,SS
2023,145,오윤석,KT,1루수,52,34,308.6666666666667,0,0,276,32,28,1.0,0,0,0,,1B
2023,145,정해영,KIA,투수,52,0,49.333333333333336,1,0,3,7,0,0.909,0,0,0,,P
2023,145,정우람,한화,투수,52,0,40.333333333333336,0,0,0,1,0,1.0,0,0,0,,P
2023,148,러셀,키움,유격수,51,49,407.6666666666667,3,0,68,113,24,0.984,0,0,0,,SS
2023,148,임창민,키움,투수,51,0,46.66666666666666,0,0,2,2,0,1.0,0,0,0,,P
2023,148,이재익,삼성,투수,51,0,41.0,1,0,3,5,0,0.889,0,0,0,,P
2024,1,박해민,LG,중견수,143,128,1127.0,1,0,283,2,0,0.997,0,0,0,,CF
2024,2,황재균,KT,3루수,135,127,1085.0,14,0,83,171,14,0.948,0,0,0,,3B
2024,2,박성한,SSG,유격수,135,128,1115.0,23,0,209,332,68,0.959,0,0,0,,SS
2024,4,김도영,KIA,3루수,134,132,1111.0,30,0,77,216,26,0.907,0,0,0,,3B
2024,5,정수빈,두산,중견수,133,131,1114.0,1,0,313,5,1,0.997,0,0,0,,CF
2024,6,김주원,NC,유격수,132,115,1023.6666666666666,18,0,195,287,61,0.964,0,0,0,,SS
2024,6,박찬호,KIA,유격수,132,129,1120.3333333333333,23,0,213,328,72,0.959,0,0,0,,SS
2024,8,양석환,두산,1루수,131,130,1118.0,10,0,944,84,78,0.99,0,0,0,,1B
2024,9,문보경,LG,3루수,129,120,975.0,10,0,89,186,21,0.965,0,0,0,,3B
2024,10,홍창기,LG,우익수,127,120,1037.0,10,0,257,7,3,0.964,0,0,0,,RF
2024,11,노시환,한화,3루수,126,125,1098.3333333333333,9,0,97,196,26,0.97,0,0,0,,3B
2024,12,박동원,LG,포수,124,109,944.6666666666666,4,3,809,77,10,0.996,6,87,29,25.0,C
2024,12,신민재,LG,2루수,124,113,984.0,11,0,257,299,77,0.981,0,0,0,,2B
2024,12,강승호,두산,2루수,124,118,988.0,12,0,234,286,56,0.977,0,0,0,,2B
2024,15,최주환,키움,1루수,122,116,1027.6666666666667,6,0,906,60,94,0.994,0,0,0,,1B
2024,16,최정,SSG,3루수,121,116,954.6666666666666,13,0,57,169,17,0.946,0,0,0,,3B
2024,17,강민호,삼성,포수,120,95,803.0,2,1,631,53,9,0.997,6,72,22,23.4,C
2024,18,최지훈,SSG,중견수,119,113,989.6666666666666,7,0,237,5,2,0.972,0,0,0,,CF
2024,18,김혜성,키움,2루수,119,118,1015.0,16,0,258,342,83,0.974,0,0,0,,2B
2024,20,에레디아,SSG,좌익수,117,115,975.0,3,0,211,8,2,0.986,0,0,0,,LF
2024,20,이지영,SSG,포수,117,105,914.6666666666666,7,1,919,61,9,0.993,2,87,26,23.0,C
2024,20,김지찬,삼성,중견수,117,103,859.0,3,0,259,0,0,0.989,0,0,0,,CF
2024,23,김형준,NC,포수,116,104,870.3333333333334,12,0,761,59,12,0.986,5,51,31,37.8,C
2024,24,권희동,NC,좌익수,115,101,834.6666666666666,2,0,216,11,2,0.991,0,0,0,,LF
2024,24,김선빈,KIA,2루수,115,112,884.0,10,0,206,284,66,0.98,0,0,0,,2B
2024,24,소크라테스,KIA,좌익수,115,86,755.3333333333334,2,0,168,4,1,0.989,0,0,0,,LF
2024,24,최재훈,한화,포수,115,95,791.6666666666666,5,3,746,60,6,0.994,5,58,23,28.4,C
2024,28,장성우,KT,포수,114,105,856.3333333333334,2,0,780,56,6,0.998,6,97,17,14.9,C
2024,29,배정대,KT,중견수,113,110,958.0,7,0,266,3,1,0.975,0,0,0,,CF
2024,29,나승엽,롯데,1루수,113,111,937.3333333333334,11,0,813,67,89,0.988,0,0,0,,1B
2024,31,이도윤,한화,유격수,112,89,784.0,13,0,138,198,55,0.963,0,0,0,,SS
2024,32,박승욱,롯데,유격수,111,97,833.0,22,0,140,252,63,0.947,0,0,0,,SS
2024,33,허경민,두산,3루수,110,108,883.0,5,0,77,143,13,0.978,0,0,0,,3B
2024,34,데이비슨,NC,1루수,109,109,890.3333333333334,11,0,733,70,66,0.986,0,0,0,,1B
2024,34,김재현,키움,포수,109,85,758.3333333333334,7,1,627,48,7,0.99,5,63,22,25.9,C
2024,36,오지환,LG,유격수,107,97,858.0,12,0,150,238,52,0.97,0,0,0,,SS
2024,36,이재현,삼성,유격수,107,99,862.3333333333334,11,0,186,212,43,0.973,0,0,0,,SS
2024,38,오스틴,LG,1루수,106,105,863.0,8,0,728,74,81,0.99,0,0,0,,1B
2024,38,서호철,NC,3루수,106,100,834.0,9,0,75,157,21,0.963,0,0,0,,3B
2024,40,고승민,롯데,2루수,104,98,840.0,13,0,206,275,68,0.974,0,0,0,,2B
2024,41,한준수,KIA,포수,103,60,600.0,4,1,541,39,6,0.993,6,47,11,19.0,C
2024,42,김성욱,NC,중견수,102,82,743.0,1,0,197,5,3,0.995,0,0,0,,CF
2024,43,한유섬,SSG,우익수,101,97,802.6666666666666,6,0,164,0,0,0.965,0,0,0,,RF
2024,43,김태군,KIA,포수,101,82,641.0,6,0,567,38,4,0.99,3,60,11,15.5,C
2024,45,구자욱,삼성,좌익수,100,98,802.0,1,0,188,4,1,0.995,0,0,0,,LF
2024,46,박민우,NC,2루수,98,95,779.3333333333334,6,0,186,210,39,0.985,0,0,0,,2B
2024,47,송성문,키움,3루수,97,86,773.0,7,0,66,135,19,0.966,0,0,0,,3B
2024,48,최원준,KIA,우익수,96,29,399.0,0,0,69,3,0,1.0,0,0,0,,RF
2024,49,최원준,KIA,중견수,93,82,624.0,4,0,163,2,1,0.976,0,0,0,,CF
2024,50,고명준,SSG,1루수,92,87,667.0,5,0,584,42,53,0.992,0,0,0,,1B
2024,51,이병헌,삼성,포수,90,44,421.6666666666667,3,0,341,21,3,0.992,1,33,9,21.4,C
2024,52,오태곤,SSG,1루수,89,42,478.6666666666667,2,0,427,34,46,0.996,0,0,0,,1B
2024,52,정보근,롯데,포수,89,42,379.3333333333333,4,2,335,34,7,0.989,2,36,11,23.4,C
2024,54,문상철,KT,1루수,88,78,638.6666666666666,6,0,563,50,52,0.99,0,0,0,,1B
2024,54,윤동희,롯데,중견수,88,81,696.6666666666666,4,0,204,2,0,0.981,0,0,0,,CF
2024,56,이우성,KIA,1루수,87,79,670.3333333333334,6,0,609,36,61,0.991,0,0,0,,1B
2024,56,김영웅,삼성,3루수,87,76,639.3333333333334,10,0,62,115,6,0.947,0,0,0,,3B
2024,58,로하스,KT,좌익수,86,58,540.0,0,0,149,2,0,1.0,0,0,0,,LF
