연도,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO,SB_pct_calc
2023,64,이학주,롯데,104,5,4,1,80.0,1,0,80.0
2023,64,김재호,두산,91,4,4,0,100.0,2,0,100.0
2023,64,양석환,두산,140,4,4,0,100.0,9,0,100.0
2023,78,안상현,SSG,58,4,3,1,75.0,0,0,75.0
2023,78,이주형,키움,69,4,3,1,75.0,0,1,75.0
2023,78,서건창,LG,44,6,3,3,50.0,3,0,50.0
2023,78,강백호,KT,71,3,3,0,100.0,4,0,100.0
2023,78,문상철,KT,112,4,3,1,75.0,3,0,75.0
2023,78,송민섭,KT,69,4,3,1,75.0,1,0,75.0
2023,78,오윤석,KT,82,4,3,1,75.0,0,1,75.0
2023,78,장준원,KT,69,3,3,0,100.0,0,0,100.0
2023,78,황재균,KT,109,6,3,3,50.0,2,1,50.0
2023,78,김선빈,KIA,119,4,3,1,75.0,4,0,75.0
2023,78,오영수,NC,70,6,3,3,50.0,3,1,50.0
2023,78,오태양,NC,21,6,3,3,50.0,1,0,50.0
2023,78,김동진,삼성,44,3,3,0,100.0,2,1,100.0
2023,78,안치홍,롯데,121,6,3,3,50.0,3,1,50.0
2023,78,윤동희,롯데,107,9,3,6,33.3,2,3,33.33333333333333
2023,78,김재환,두산,132,4,3,1,75.0,4,0,75.0
2023,78,양찬열,두산,44,5,3,2,60.0,0,0,60.0
2023,95,김강민,SSG,70,3,2,1,66.7,2,0,66.66666666666666
2023,95,최경모,SSG,28,2,2,0,100.0,0,0,100.0
2023,95,최상민,SSG,51,4,2,2,50.0,1,0,50.0
2023,95,한유섬,SSG,109,3,2,1,66.7,1,1,66.66666666666666
2023,95,이용규,키움,50,3,2,1,66.7,2,0,66.66666666666666
2023,95,김민성,LG,112,3,2,1,66.7,2,0,66.66666666666666
2023,95,김현수,LG,133,3,2,1,66.7,5,0,66.66666666666666
2023,95,손호영,LG,27,3,2,1,66.7,0,0,66.66666666666666
2023,95,박병호,KT,132,2,2,0,100.0,4,0,100.0
2023,95,이상호,KT,63,2,2,0,100.0,1,0,100.0
2023,95,홍현빈,KT,44,2,2,0,100.0,0,0,100.0
2023,95,고종욱,KIA,114,4,2,2,50.0,0,0,50.0
2023,95,김태군,KIA,114,3,2,1,66.7,5,0,66.66666666666666
2023,95,권희동,NC,96,2,2,0,100.0,5,0,100.0
2023,95,도태훈,NC,117,3,2,1,66.7,2,0,66.66666666666666
2023,95,천재환,NC,78,5,2,3,40.0,1,0,40.0
2023,95,한석현,NC,27,3,2,1,66.7,1,1,66.66666666666666
2023,95,김호재,삼성,75,2,2,0,100.0,0,1,100.0
2023,95,장두성,롯데,25,2,2,0,100.0,1,1,100.0
2023,95,정훈,롯데,80,2,2,0,100.0,2,0,100.0
2023,95,김인태,두산,47,3,2,1,66.7,2,0,66.66666666666666
2023,95,박계범,두산,78,4,2,2,50.0,1,2,50.0
2023,95,박준영,두산,51,3,2,1,66.7,0,0,66.66666666666666
2023,95,안재석,두산,27,2,2,0,100.0,1,2,100.0
2023,95,권광민,한화,66,2,2,0,100.0,0,0,100.0
2023,95,노수광,한화,30,3,2,1,66.7,1,1,66.66666666666666
2023,95,노시환,한화,131,3,2,1,66.7,4,0,66.66666666666666
2023,95,오선진,한화,90,2,2,0,100.0,2,0,100.0
2023,123,러셀,키움,59,1,1,0,100.0,1,0,100.0
2023,123,박주홍,키움,27,1,1,0,100.0,1,0,100.0
2023,123,송성문,키움,104,1,1,0,100.0,1,0,100.0
2023,123,이지영,키움,81,2,1,1,50.0,0,0,50.0
2023,123,임지열,키움,72,1,1,0,100.0,2,0,100.0
2023,123,김기연,LG,28,1,1,0,100.0,1,0,100.0
2023,123,송찬의,LG,19,1,1,0,100.0,1,0,100.0
2023,123,정주현,LG,89,6,1,5,16.7,1,0,16.666666666666664
2023,123,김준태,KT,69,1,1,0,100.0,1,0,100.0
2023,123,장성우,KT,131,2,1,1,50.0,2,0,50.0
2023,123,김호령,KIA,76,1,1,0,100.0,0,0,100.0
2023,123,박세혁,NC,88,2,1,1,50.0,1,0,50.0
2023,123,윤형준,NC,82,2,1,1,50.0,1,0,50.0
2023,123,강한울,삼성,72,4,1,3,25.0,1,0,25.0
2023,123,김동엽,삼성,69,2,1,1,50.0,2,0,50.0
2023,123,김영웅,삼성,55,1,1,0,100.0,0,0,100.0
2023,123,오재일,삼성,106,1,1,0,100.0,3,1,100.0
2023,123,윤정빈,삼성,28,1,1,0,100.0,1,0,100.0
2023,123,김동혁,롯데,15,1,1,0,100.0,0,0,100.0
2023,123,배영빈,롯데,18,1,1,0,100.0,0,0,100.0
2023,123,신윤후,롯데,28,1,1,0,100.0,0,0,100.0
2023,123,유강남,롯데,121,2,1,1,50.0,6,0,50.0
2023,123,이정훈,롯데,59,2,1,1,50.0,1,1,50.0
2023,123,정보근,롯데,55,1,1,0,100.0,0,1,100.0
2023,123,한동희,롯데,108,4,1,3,25.0,3,0,25.0
2023,123,김대한,두산,33,4,1,3,25.0,0,0,25.0
2023,123,박지훈,두산,22,1,1,0,100.0,1,0,100.0
2023,123,안승한,두산,22,1,1,0,100.0,0,0,100.0
2024,1,조수행,두산,130,72,64,8,88.9,2,2,88.88888888888889
2024,2,정수빈,두산,136,65,52,13,80.0,7,1,80.0
2024,3,황성빈,롯데,125,61,51,10,83.6,6,4,83.60655737704919
2024,4,박해민,LG,144,56,43,13,76.8,4,4,76.78571428571429
2024,5,김지찬,삼성,135,46,42,4,91.3,1,2,91.30434782608695
2024,6,김도영,KIA,141,44,40,4,90.9,5,1,90.9090909090909
2024,7,신민재,LG,128,43,32,11,74.4,7,0,74.4186046511628
2024,7,최지훈,SSG,125,37,32,5,86.5,2,0,86.48648648648648
2024,7,박민우,NC,121,39,32,7,82.1,6,4,82.05128205128204
2024,10,김혜성,키움,127,36,30,6,83.3,6,1,83.33333333333334
2024,11,오태곤,SSG,117,31,27,4,87.1,0,1,87.09677419354838
2024,12,최원준,KIA,136,30,21,9,70.0,3,1,70.0
2024,12,송성문,키움,142,21,21,0,100.0,3,1,100.0
2024,14,박찬호,KIA,134,33,20,13,60.6,4,1,60.60606060606061
2024,15,오지환,LG,108,21,17,4,81.0,4,0,80.95238095238095
2024,16,정준재,SSG,88,21,16,5,76.2,4,0,76.19047619047619
2024,16,김주원,NC,134,22,16,6,72.7,5,0,72.72727272727273
2024,16,강승호,두산,140,21,16,5,76.2,3,0,76.19047619047619
2024,16,이유찬,두산,103,22,16,6,72.7,5,1,72.72727272727273
2024,20,하재훈,SSG,107,17,15,2,88.2,1,0,88.23529411764706
2024,21,장두성,롯데,71,17,14,3,82.4,2,0,82.35294117647058
2024,21,장진혁,한화,99,20,14,6,70.0,0,2,70.0
2024,23,문성주,LG,96,20,13,7,65.0,5,0,65.0
2024,23,박성한,SSG,137,16,13,3,81.3,4,1,81.25
2024,23,소크라테스,KIA,140,18,13,5,72.2,11,1,72.22222222222221
2024,23,구자욱,삼성,129,17,13,4,76.5,10,1,76.47058823529412
2024,27,오스틴,LG,140,20,12,8,60.0,6,1,60.0
2024,28,최승민,LG,57,18,11,7,61.1,1,2,61.11111111111112
2024,28,류지혁,삼성,100,15,11,4,73.3,4,1,73.33333333333333
2024,30,홍창기,LG,139,21,10,11,47.6,8,1,47.61904761904761
2024,30,김성욱,NC,129,14,10,4,71.4,0,1,71.42857142857143
2024,32,배정대,KT,113,16,9,7,56.3,4,1,56.25
2024,32,김영웅,삼성,126,11,9,2,81.8,1,0,81.81818181818183
2024,32,이성규,삼성,122,11,9,2,81.8,1,0,81.81818181818183
2024,35,구본혁,LG,133,12,8,4,66.7,4,0,66.66666666666666
2024,35,박지환,SSG,76,11,8,3,72.7,4,0,72.72727272727273
2024,35,이지영,SSG,123,9,8,1,88.9,0,0,88.88888888888889
2024,35,천재환,NC,89,10,8,2,80.0,3,0,80.0
2024,35,이원석,한화,87,10,8,2,80.0,4,0,80.0
2024,40,문보경,LG,144,13,7,6,53.8,2,2,53.84615384615385
2024,40,심우준,KT,53,8,7,1,87.5,1,0,87.5
2024,40,천성호,KT,75,7,7,0,100.0,2,1,100.0
2024,40,최정원,NC,65,10,7,3,70.0,4,0,70.0
2024,40,전민재,두산,100,10,7,3,70.0,4,0,70.0
2024,40,이우성,KIA,112,8,7,1,87.5,5,0,87.5
2024,40,손호영,롯데,102,11,7,4,63.6,2,2,63.63636363636363
2024,40,윤동희,롯데,141,15,7,8,46.7,8,0,46.66666666666666
2024,40,페라자,한화,122,12,7,5,58.3,5,0,58.333333333333336
2024,49,김현수,LG,137,7,6,1,85.7,7,1,85.71428571428571
2024,49,최원영,LG,57,10,6,4,60.0,1,1,60.0
2024,49,강백호,KT,144,8,6,2,75.0,6,0,75.0
2024,49,문상철,KT,125,7,6,1,85.7,1,1,85.71428571428571
2024,49,최경모,SSG,50,9,6,3,66.7,0,0,66.66666666666666
2024,49,손아섭,NC,84,8,6,2,75.0,4,0,75.0
2024,49,노시환,한화,136,6,6,0,100.0,3,0,100.0
2024,49,이도윤,한화,134,10,6,4,60.0,2,1,60.0
2024,49,이주형,키움,115,6,6,0,100.0,2,0,100.0
2024,58,장성우,KT,131,5,5,0,100.0,3,0,100.0
2024,58,조용호,KT,60,6,5,1,83.3,1,1,83.33333333333334
2024,58,최정,SSG,129,6,5,1,83.3,4,0,83.33333333333334
2024,58,추신수,SSG,78,6,5,1,83.3,3,0,83.33333333333334
2024,58,양석환,두산,142,8,5,3,62.5,2,0,62.5
2024,58,허경민,두산,115,6,5,1,83.3,3,0,83.33333333333334
2024,58,김선빈,KIA,116,6,5,1,83.3,1,0,83.33333333333334
2024,58,홍종표,KIA,100,7,5,2,71.4,0,0,71.42857142857143
2024,58,고승민,롯데,120,9,5,4,55.6,6,0,55.55555555555556
2024,58,레이예스,롯데,144,5,5,0,100.0,5,1,100.0
2024,58,김태연,한화,126,7,5,2,71.4,5,0,71.42857142857143
2024,58,이상혁,한화,43,7,5,2,71.4,0,1,71.42857142857143
2024,70,김민혁,KT,115,6,4,2,66.7,3,0,66.66666666666666
2024,70,황재균,KT,137,10,4,6,40.0,4,0,40.0
2024,70,에레디아,SSG,136,7,4,3,57.1,7,0,57.14285714285714
2024,70,권희동,NC,123,4,4,0,100.0,3,1,100.0
2024,70,김휘집,NC,140,7,4,3,57.1,4,2,57.14285714285714
2024,70,박건우,NC,89,4,4,0,100.0,0,0,100.0
2024,70,박세혁,NC,82,4,4,0,100.0,1,0,100.0
2024,70,제러드,두산,38,4,4,0,100.0,3,0,100.0
2024,70,이창진,KIA,103,7,4,3,57.1,1,0,57.14285714285714
2024,70,박승욱,롯데,139,9,4,5,44.4,7,0,44.44444444444444
2024,70,김재상,삼성,35,4,4,0,100.0,1,0,100.0
2024,70,김헌곤,삼성,117,6,4,2,66.7,1,0,66.66666666666666
2024,70,박병호,삼성,120,4,4,0,100.0,1,0,100.0
2024,70,안주형,삼성,82,6,4,2,66.7,2,0,66.66666666666666
2024,70,황영묵,한화,123,11,4,7,36.4,2,0,36.36363636363637
2024,85,김상수,KT,113,5,3,2,60.0,1,0,60.0
2024,85,고명준,SSG,106,7,3,4,42.9,1,1,42.85714285714285
2024,85,박시원,NC,55,3,3,0,100.0,1,1,100.0
2024,85,라모스,두산,80,6,3,3,50.0,4,0,50.0
2024,85,여동건,두산,9,3,3,0,100.0,2,0,100.0
2024,85,김호령,KIA,64,5,3,2,60.0,1,0,60.0
2024,85,서건창,KIA,94,4,3,1,75.0,5,0,75.0
2024,85,김동혁,롯데,39,4,3,1,75.0,0,2,75.0
2024,85,김민석,롯데,41,4,3,1,75.0,0,0,75.0
2024,85,전준우,롯데,109,4,3,1,75.0,3,1,75.0
2024,85,강민호,삼성,136,3,3,0,100.0,7,0,100.0
2024,85,김성윤,삼성,32,4,3,1,75.0,0,0,75.0
2024,85,문현빈,한화,103,8,3,5,37.5,4,1,37.5
2024,85,안치홍,한화,128,5,3,2,60.0,2,0,60.0
2024,85,최인호,한화,82,3,3,0,100.0,3,0,100.0
2024,85,박수종,키움,80,3,3,0,100.0,2,0,100.0
2024,101,김대원,LG,19,3,2,1,66.7,1,0,66.66666666666666
2024,101,안익훈,LG,37,2,2,0,100.0,0,0,100.0
2024,101,로하스,KT,144,3,2,1,66.7,7,0,66.66666666666666
2024,101,신본기,KT,84,2,2,0,100.0,0,0,100.0
