연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ISO,BB_pct,K_pct,BABIP,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2024,49,이재현,삼성,0.26,109,458,389,71,101,18,1,14,163,66,0,3,58.0,1.0,8.0,83.0,8.0,0.419,0.365,0.784,27.0,0.33,0.25,0.1589999999999999,0.1266375545851528,0.1812227074235808,0.2949152542372881,33,87,121,0.72,5,0.7,4.38,0.159,62.1,0.269
2024,50,황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2,34.0,0.0,2.0,95.0,16.0,0.383,0.309,0.692,34.0,0.238,0.2,0.123,0.0634328358208955,0.1772388059701492,0.2971576227390181,35,113,159,0.71,5,0.36,3.84,0.124,53.5,0.235
2024,51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,52.0,1.0,10.0,119.0,16.0,0.41,0.337,0.747,33.0,0.282,0.0,0.1519999999999999,0.092526690391459,0.2117437722419929,0.3047091412742382,41,91,160,0.57,8,0.44,4.14,0.152,68.3,0.254
2024,52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,47.0,2.0,6.0,92.0,12.0,0.39,0.325,0.715,36.0,0.308,0.0,0.133,0.0863970588235294,0.1691176470588235,0.2875647668393782,37,108,167,0.65,7,0.51,4.08,0.133,63.3,0.244
2024,53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4,45.0,0.0,3.0,155.0,2.0,0.485,0.321,0.806,26.0,0.31,0.167,0.2329999999999999,0.0884086444007858,0.3045186640471513,0.3140794223826715,47,78,112,0.7,8,0.29,3.83,0.232,75.1,0.266
2024,54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,51.0,1.0,25.0,111.0,5.0,0.379,0.371,0.75,26.0,0.243,0.0,0.127,0.1073684210526315,0.2336842105263158,0.3259259259259259,29,72,110,0.65,3,0.46,4.07,0.127,62.3,0.262
2024,55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,49.0,1.0,7.0,128.0,15.0,0.488,0.316,0.804,34.0,0.286,0.667,0.242,0.0826306913996627,0.2158516020236087,0.2593582887700534,60,96,181,0.53,10,0.38,4.05,0.242,80.8,0.264
2024,56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3,46.0,3.0,9.0,142.0,2.0,0.453,0.314,0.767,28.0,0.26,0.167,0.218,0.0879541108986615,0.27151051625239,0.2823920265780731,53,90,126,0.71,8,0.32,4.14,0.218,68.9,0.255
2025,1,양의지,두산,0.337,130,517,454,56,153,27,1,20,242,89,0,6,50.0,6.0,7.0,63.0,10.0,0.533,0.406,0.939,44.0,0.375,0.5,0.196,0.0967117988394584,0.1218568665377176,0.3527851458885941,48,94,150,0.63,5,0.79,3.71,0.196,91.6,0.316
2025,2,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3,75.0,5.0,9.0,72.0,4.0,0.57,0.448,1.018,38.0,0.333,0.0,0.2359999999999999,0.1556016597510373,0.1493775933609958,0.3618421052631579,45,93,101,0.92,7,1.04,4.2,0.235,97.5,0.344
2025,3,김성윤,삼성,0.331,127,538,456,92,151,29,9,6,216,61,10,2,65.0,0.0,5.0,54.0,11.0,0.474,0.419,0.893,45.0,0.402,0.4,0.1429999999999999,0.120817843866171,0.1003717472118959,0.364321608040201,44,159,94,1.69,4,1.2,3.67,0.143,87.8,0.307
2025,4,레이예스,롯데,0.326,144,643,573,75,187,44,1,13,272,107,0,9,58.0,17.0,3.0,66.0,25.0,0.475,0.386,0.861,60.0,0.375,0.0,0.1489999999999999,0.0902021772939346,0.1026438569206843,0.345924453280318,58,185,144,1.28,7,0.88,3.6,0.148,94.9,0.292
2025,5,문현빈,한화,0.32,141,592,528,71,169,30,2,12,239,80,5,11,38.0,2.0,10.0,82.0,11.0,0.453,0.37,0.823,53.0,0.319,0.25,0.133,0.0641891891891891,0.1385135135135135,0.3528089887640449,44,148,140,1.06,13,0.46,3.62,0.133,88.0,0.28
2025,6,구자욱,삼성,0.319,142,616,529,106,169,43,2,19,273,96,1,8,73.0,7.0,5.0,91.0,9.0,0.516,0.402,0.918,46.0,0.351,0.333,0.197,0.1185064935064935,0.1477272727272727,0.351288056206089,64,147,130,1.13,15,0.8,4.05,0.197,105.7,0.31
2025,7,송성문,키움,0.315,144,646,574,103,181,37,4,26,304,90,0,3,68.0,5.0,1.0,96.0,6.0,0.53,0.387,0.917,53.0,0.372,0.333,0.215,0.1052631578947368,0.1486068111455108,0.3406593406593406,67,139,161,0.86,8,0.71,3.79,0.214,114.9,0.307
2025,8,디아즈,삼성,0.314,144,628,551,93,173,32,0,50,355,158,0,11,60.0,10.0,6.0,100.0,15.0,0.644,0.381,1.025,50.0,0.352,1.0,0.33,0.0955414012738853,0.1592356687898089,0.2985436893203883,82,103,186,0.55,16,0.6,3.82,0.33,126.0,0.332
2025,9,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,62.0,0.0,3.0,57.0,7.0,0.382,0.395,0.777,37.0,0.407,0.5,0.069,0.1152416356877323,0.1059479553903345,0.3520782396088019,23,191,74,2.58,4,1.09,3.89,0.069,72.5,0.273
2025,10,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,61.0,7.0,2.0,62.0,11.0,0.595,0.393,0.988,38.0,0.292,0.0,0.282,0.1222444889779559,0.1242484969939879,0.2973760932944606,57,74,167,0.44,11,0.98,3.79,0.282,96.2,0.326
2025,11,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5,67.0,8.0,8.0,98.0,9.0,0.529,0.399,0.928,38.0,0.294,0.6,0.222,0.122040072859745,0.1785063752276867,0.3409090909090909,55,103,129,0.8,9,0.68,3.99,0.222,95.1,0.312
2025,12,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,54.0,0.0,4.0,59.0,10.0,0.375,0.375,0.75,43.0,0.321,0.167,0.07,0.0996309963099631,0.1088560885608856,0.3364928909952606,25,166,114,1.46,10,0.92,3.77,0.069,69.7,0.263
2025,13,박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,4,4,44.0,5.0,12.0,64.0,5.0,0.426,0.384,0.81,37.0,0.432,0.167,0.124,0.094017094017094,0.1367521367521367,0.3489736070381232,36,109,113,0.96,6,0.69,3.66,0.124,68.6,0.279
2025,14,케이브,두산,0.299,136,593,538,72,161,28,6,16,249,87,0,8,43.0,1.0,4.0,116.0,7.0,0.463,0.351,0.814,52.0,0.31,0.0,0.164,0.072512647554806,0.1956155143338954,0.3502415458937198,50,129,140,0.92,7,0.37,3.78,0.164,89.1,0.274
2025,15,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,64.0,1.0,4.0,73.0,10.0,0.422,0.384,0.806,36.0,0.362,0.4,0.124,0.1159420289855072,0.1322463768115942,0.3308270676691729,36,147,120,1.23,15,0.88,3.89,0.124,77.9,0.278
2025,16,전준우,롯데,0.293,114,472,410,50,120,26,1,8,172,70,3,6,44.0,2.0,9.0,71.0,9.0,0.42,0.369,0.789,29.0,0.359,0.25,0.127,0.0932203389830508,0.1504237288135593,0.3323442136498516,35,98,127,0.77,11,0.62,3.7,0.127,64.0,0.271
2025,17,김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,4,2,63.0,1.0,16.0,111.0,8.0,0.451,0.379,0.83,40.0,0.306,0.333,0.162,0.1009615384615384,0.1778846153846154,0.3397590361445783,49,112,162,0.69,3,0.57,3.94,0.161,95.9,0.283
2025,18,채은성,한화,0.288,132,527,480,54,138,27,1,19,224,88,3,0,31.0,5.0,13.0,96.0,4.0,0.467,0.347,0.814,39.0,0.333,0.0,0.179,0.0588235294117647,0.1821631878557874,0.3260273972602739,47,117,129,0.91,10,0.32,3.72,0.179,74.5,0.273
2025,19,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6,62.0,0.0,3.0,69.0,7.0,0.359,0.363,0.722,37.0,0.294,0.0,0.072,0.1042016806722689,0.1159663865546218,0.3191964285714285,25,138,167,0.83,3,0.9,3.86,0.072,75.1,0.253
2025,20,최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45,4,5,43.0,2.0,5.0,87.0,2.0,0.371,0.342,0.713,37.0,0.28,0.286,0.087,0.0749128919860627,0.151567944250871,0.3271028037383177,27,117,171,0.68,6,0.49,3.91,0.087,72.0,0.247
2025,21,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4,39.0,1.0,15.0,35.0,14.0,0.355,0.362,0.717,33.0,0.29,0.0,0.072,0.081081081081081,0.0727650727650727,0.2987012987012987,22,129,141,0.91,5,1.11,3.88,0.071,54.9,0.252
2025,22,류지혁,삼성,0.28,129,464,400,54,112,14,0,1,129,37,14,4,33.0,0.0,13.0,73.0,11.0,0.323,0.351,0.674,29.0,0.247,0.2,0.0429999999999999,0.0711206896551724,0.1573275862068965,0.3363636363636363,15,130,89,1.46,3,0.45,3.82,0.043,47.2,0.239
2025,23,고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64,0,7,20.0,1.0,2.0,99.0,12.0,0.433,0.306,0.739,43.0,0.235,0.0,0.1549999999999999,0.04,0.198,0.3149171270718232,38,124,124,1.0,11,0.2,3.38,0.155,60.9,0.246
2025,24,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,68.0,0.0,8.0,94.0,7.0,0.346,0.379,0.725,29.0,0.231,0.0,0.0699999999999999,0.125,0.1727941176470588,0.3409742120343839,23,100,130,0.77,3,0.72,3.96,0.07,69.3,0.257
2025,25,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,79.0,3.0,4.0,108.0,15.0,0.46,0.371,0.831,38.0,0.274,0.333,0.184,0.1301482701812191,0.1779242174629324,0.3010204081632653,46,162,112,1.45,13,0.73,4.13,0.184,90.2,0.282
2025,26,최주환,키움,0.275,120,506,459,45,126,31,1,12,195,74,0,6,36.0,2.0,5.0,66.0,8.0,0.425,0.33,0.755,33.0,0.291,0.5,0.1499999999999999,0.0711462450592885,0.1304347826086956,0.2945736434108527,44,112,161,0.7,6,0.55,4.07,0.15,64.2,0.255
2025,27,박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48,2,2,79.0,1.0,3.0,93.0,6.0,0.381,0.384,0.765,31.0,0.275,0.5,0.1069999999999999,0.1468401486988847,0.1728624535315985,0.3305084745762712,32,125,112,1.12,5,0.85,4.51,0.106,69.8,0.268
