순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
25,오재일,삼성,1루수,119,112,949,5,0,881,76,87,0.995,0,0,0,-
26,최정,SSG,3루수,117,115,958 1/3,12,0,71,170,12,0.953,0,0,0,-
26,한동희,롯데,3루수,117,112,975,19,0,54,177,18,0.924,0,0,0,-
28,정은원,한화,2루수,116,114,981 2/3,17,0,247,272,63,0.968,0,0,0,-
29,최지훈,SSG,중견수,114,106,921 2/3,1,0,241,8,2,0.996,0,0,0,-
29,박동원,KIA,포수,114,98,865,5,2,703,71,8,0.994,5,40,22,35.5
31,하주석,한화,유격수,110,104,899,19,0,135,275,41,0.956,0,0,0,-
32,손아섭,NC,우익수,108,108,894 2/3,3,0,193,7,3,0.985,0,0,0,-
33,박병호,KT,1루수,107,105,873,7,0,861,73,82,0.993,0,0,0,-
34,최재훈,한화,포수,106,101,853 2/3,3,1,644,78,10,0.996,7,73,34,31.8
35,김재환,두산,좌익수,105,104,825 2/3,3,0,191,6,0,0.985,0,0,0,-
35,김휘집,키움,유격수,105,95,798,15,0,138,257,40,0.963,0,0,0,-
35,김성현,SSG,2루수,105,67,649,7,0,131,230,58,0.981,0,0,0,-
35,안치홍,롯데,2루수,105,102,825,11,0,170,262,61,0.975,0,0,0,-
39,홍창기,LG,우익수,104,97,828 2/3,1,0,165,6,3,0.994,0,0,0,-
39,전준우,롯데,좌익수,104,99,854,2,0,162,2,0,0.988,0,0,0,-
41,류지혁,KIA,3루수,103,93,785 2/3,11,0,62,139,14,0.948,0,0,0,-
42,김현준,삼성,중견수,102,92,799 1/3,3,0,232,4,0,0.987,0,0,0,-
42,전병우,키움,1루수,102,40,512,5,0,530,37,56,0.991,0,0,0,-
44,장성우,KT,포수,101,87,763 2/3,7,0,661,39,2,0.990,1,46,17,27.0
45,이재원,SSG,포수,100,78,660 1/3,4,0,567,20,8,0.993,0,55,6,9.8
45,박민우,NC,2루수,100,97,840,8,0,197,246,59,0.982,0,0,0,-
47,김재호,두산,유격수,98,61,580,6,0,111,184,43,0.980,0,0,0,-
47,김민식,SSG,포수,98,64,595,5,3,462,50,3,0.990,3,39,17,30.4
49,구자욱,삼성,우익수,97,96,838 2/3,4,0,166,5,0,0.977,0,0,0,-
49,문보경,LG,3루수,97,94,749,4,0,40,135,20,0.978,0,0,0,-
51,김지찬,삼성,2루수,96,83,734 1/3,18,0,194,251,55,0.961,0,0,0,-
51,김현수,LG,좌익수,96,94,802 1/3,2,0,172,4,1,0.989,0,0,0,-
51,푸이그,키움,우익수,96,96,842 2/3,6,0,150,8,1,0.963,0,0,0,-
51,양의지,NC,포수,96,89,736 2/3,2,1,688,54,5,0.997,5,26,19,42.2
55,강민호,삼성,포수,95,83,714 1/3,4,0,546,41,2,0.993,2,27,14,34.1
56,정보근,롯데,포수,94,67,585 2/3,6,0,592,43,4,0.991,6,34,11,24.4
57,노수광,한화,좌익수,93,76,648 2/3,4,0,168,5,0,0.977,0,0,0,-
58,조용호,KT,우익수,92,92,675 1/3,0,0,131,7,0,1.000,0,0,0,-
59,이창진,KIA,좌익수,89,85,722 2/3,0,0,165,3,0,1.000,0,0,0,-
60,박경수,KT,2루수,86,45,413 1/3,7,0,80,155,29,0.971,0,0,0,-
60,이학주,롯데,유격수,86,68,616,12,0,119,200,49,0.964,0,0,0,-
62,오윤석,KT,2루수,85,75,594 2/3,8,0,133,221,49,0.978,0,0,0,-
62,양석환,두산,1루수,85,83,685,10,0,629,55,54,0.986,0,0,0,-
64,오태곤,SSG,좌익수,81,50,488,1,0,117,7,1,0.992,0,0,0,-
65,김준태,KT,포수,79,57,504 2/3,3,0,414,22,1,0.993,7,21,6,22.2
65,김민성,LG,3루수,79,25,313 1/3,3,0,19,46,3,0.956,0,0,0,-
65,김주원,NC,유격수,79,70,636 1/3,11,0,139,206,48,0.969,0,0,0,-
68,김범수,한화,투수,78,0,66,1,0,5,11,1,0.941,0,0,0,-
69,박건우,NC,중견수,77,76,621,3,0,146,3,0,0.980,0,0,0,-
69,정훈,롯데,1루수,77,74,614 2/3,2,0,561,43,49,0.997,0,0,0,-
71,김민수,KT,투수,76,0,80 2/3,2,0,3,13,1,0.889,0,0,0,-
71,오영수,NC,1루수,76,63,553 2/3,4,0,486,40,50,0.992,0,0,0,-
71,고승민,롯데,우익수,76,62,521 2/3,2,0,107,4,0,0.982,0,0,0,-
74,송민섭,KT,우익수,75,4,161 1/3,1,0,36,0,0,0.973,0,0,0,-
74,피터스,롯데,중견수,75,72,630 2/3,2,0,140,2,1,0.986,0,0,0,-
74,이준영,KIA,투수,75,0,46 1/3,3,1,2,13,1,0.833,0,0,0,-
74,김인환,한화,1루수,75,71,603 2/3,5,0,567,56,48,0.992,0,0,0,-
78,노시환,한화,3루수,74,69,594 2/3,7,0,49,104,10,0.956,0,0,0,-
79,구승민,롯데,투수,73,0,62,0,0,2,6,0,1.000,0,0,0,-
80,안재석,두산,유격수,72,54,459 2/3,13,0,99,144,36,0.949,0,0,0,-
80,김영규,NC,투수,72,0,66,0,0,5,17,2,1.000,0,0,0,-
82,지시완,롯데,포수,71,48,426 1/3,2,0,388,23,4,0.995,2,42,9,17.6
83,김민혁,KT,좌익수,70,61,455,0,0,112,3,1,1.000,0,0,0,-
83,조용호,KT,좌익수,70,29,311 1/3,0,0,65,1,0,1.000,0,0,0,-
83,마티니,NC,좌익수,70,56,508,2,0,107,3,0,0.982,0,0,0,-
86,김태군,삼성,포수,69,40,390,1,0,323,26,3,0.997,1,14,12,46.2
86,김도영,KIA,3루수,69,44,407,11,0,47,83,8,0.922,0,0,0,-
88,김명신,두산,투수,68,0,79 2/3,0,0,4,9,2,1.000,0,0,0,-
88,문보경,LG,1루수,68,19,257 2/3,2,0,238,20,26,0.992,0,0,0,-
88,서진용,SSG,투수,68,0,67 1/3,0,2,6,10,0,1.000,0,0,0,-
88,원종현,NC,투수,68,0,63 1/3,2,0,3,8,2,0.846,0,0,0,-
88,김유영,롯데,투수,68,0,51,1,0,4,8,1,0.923,0,0,0,-
88,최준용,롯데,투수,68,0,71,0,0,6,9,1,1.000,0,0,0,-
94,김진성,LG,투수,67,0,58,0,0,0,10,0,1.000,0,0,0,-
94,정우영,LG,투수,67,0,58,0,0,0,17,3,1.000,0,0,0,-
96,신준우,키움,유격수,66,16,196 1/3,2,0,31,76,20,0.982,0,0,0,-
96,이명기,NC,좌익수,66,58,477 2/3,4,0,90,2,0,0.958,0,0,0,-
98,이정용,LG,투수,65,0,59 1/3,1,0,1,7,0,0.889,0,0,0,-
98,김재웅,키움,투수,65,0,62 2/3,0,0,3,7,0,1.000,0,0,0,-
98,김준완,키움,좌익수,65,39,399 1/3,1,0,92,2,1,0.989,0,0,0,-
101,진해수,LG,투수,64,0,45,0,0,3,6,0,1.000,0,0,0,-
101,김택형,SSG,투수,64,0,60 1/3,1,0,3,6,0,0.900,0,0,0,-
101,박승욱,롯데,유격수,64,49,419 2/3,9,0,81,113,23,0.956,0,0,0,-
101,한승택,KIA,포수,64,34,299 2/3,0,1,243,25,0,1.000,2,17,7,29.2
101,장시환,한화,투수,64,0,63 2/3,0,0,4,7,1,1.000,0,0,0,-
106,서건창,LG,2루수,63,54,474,4,0,98,154,41,0.984,0,0,0,-
106,허도환,LG,포수,63,27,254 2/3,0,0,211,13,0,1.000,3,22,2,8.3
106,최주환,SSG,2루수,63,58,435,7,0,81,131,23,0.968,0,0,0,-
106,크론,SSG,1루수,63,61,533 2/3,3,0,542,43,54,0.995,0,0,0,-
110,전의산,SSG,1루수,62,56,477 2/3,8,0,441,29,39,0.983,0,0,0,-
110,최경모,SSG,3루수,62,9,157 2/3,3,0,15,35,1,0.943,0,0,0,-
112,김재윤,KT,투수,61,0,66 1/3,0,0,2,1,0,1.000,0,0,0,-
112,강한울,삼성,3루수,61,36,336 1/3,6,0,26,71,6,0.942,0,0,0,-
112,고우석,LG,투수,61,0,60 2/3,2,0,4,8,2,0.857,0,0,0,-
112,김태연,한화,3루수,61,58,473 1/3,11,0,52,101,11,0.933,0,0,0,-
116,우규민,삼성,투수,60,0,47,0,2,1,9,1,1.000,0,0,0,-
116,이용규,키움,좌익수,60,56,442 1/3,2,0,89,2,0,0.978,0,0,0,-
116,김강민,SSG,중견수,60,35,341,0,0,85,0,0,1.000,0,0,0,-
116,노진혁,NC,유격수,60,53,441 1/3,8,0,77,125,25,0.962,0,0,0,-
120,장승현,두산,포수,59,24,260 1/3,4,0,194,14,1,0.981,2,15,4,21.1
120,김대유,LG,투수,59,0,39 2/3,0,0,3,0,0,1.000,0,0,0,-
120,김시훈,NC,투수,59,7,83 1/3,3,0,2,10,0,0.800,0,0,0,-
120,노진혁,NC,3루수,59,57,465 1/3,8,0,34,72,5,0.930,0,0,0,-
120,이용찬,NC,투수,59,0,60 2/3,1,1,2,6,1,0.889,0,0,0,-
125,알포드,KT,좌익수,58,52,420,3,0,76,2,0,0.963,0,0,0,-
125,주권,KT,투수,58,0,50 2/3,0,0,2,5,0,1.000,0,0,0,-
125,정철원,두산,투수,58,0,72 2/3,0,1,4,18,2,1.000,0,0,0,-
125,홍건희,두산,투수,58,0,62,0,0,5,12,0,1.000,0,0,0,-
125,이승현,삼성,투수,58,0,47 2/3,0,0,1,11,0,1.000,0,0,0,-
125,박대온,NC,포수,58,37,338 1/3,2,0,309,13,1,0.994,3,20,7,25.9
131,오승환,삼성,투수,57,0,57,1,0,3,1,0,0.800,0,0,0,-
131,마티니,NC,1루수,57,52,396 1/3,10,0,335,21,29,0.973,0,0,0,-
133,이재현,삼성,유격수,56,42,380 1/3,7,0,61,111,25,0.961,0,0,0,-
133,김재현,키움,포수,56,31,217 1/3,4,1,149,18,3,0.977,2,16,6,27.3
133,강재민,한화,투수,56,0,51 1/3,0,0,3,6,0,1.000,0,0,0,-
136,김도규,롯데,투수,55,0,51,0,0,1,5,1,1.000,0,0,0,-
136,정해영,KIA,투수,55,0,56,1,0,4,8,0,0.923,0,0,0,-
138,이승현,삼성,투수,54,0,50,0,0,2,6,2,1.000,0,0,0,-
138,황성빈,롯데,중견수,54,49,388 2/3,5,0,94,1,1,0.950,0,0,0,-
138,장현식,KIA,투수,54,0,52,1,0,4,7,1,0.917,0,0,0,-
138,이진영,한화,우익수,54,47,414 2/3,1,0,73,3,0,0.987,0,0,0,-
142,오선진,삼성,3루수,53,36,326 2/3,4,0,26,56,4,0.953,0,0,0,-
142,이승호,키움,투수,53,0,50 1/3,0,0,0,5,1,1.000,0,0,0,-
142,박준영,NC,3루수,53,40,369 1/3,9,0,34,75,7,0.924,0,0,0,-
145,박영현,KT,투수,52,0,51 2/3,1,0,0,6,0,0.857,0,0,0,-
145,안권수,두산,우익수,52,39,366 1/3,6,0,82,4,0,0.935,0,0,0,-
145,김종수,한화,투수,52,0,45,1,1,2,6,0,0.889,0,0,0,-
145,윤호솔,한화,투수,52,0,42 1/3,1,0,1,2,0,0.750,0,0,0,-
149,최민준,SSG,투수,51,1,68 1/3,1,2,6,10,0,0.941,0,0,0,-
149,류진욱,NC,투수,51,0,46 1/3,2,0,2,5,0,0.778,0,0,0,-
