순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
24,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10,60,6,13,48,16,0.48,0.38,0.86,28,0.35,0.667
25,노시환,한화,0.281,115,490,434,55,122,24,1,6,166,59,0,4,48,1,4,95,13,0.382,0.355,0.737,33,0.322,1.0
26,노진혁,NC,0.28,115,451,396,50,111,24,0,15,180,75,3,5,45,3,2,105,11,0.455,0.353,0.808,26,0.295,0.0
27,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6,59,2,3,76,9,0.367,0.347,0.714,45,0.3,0.0
28,푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4,58,1,12,100,6,0.474,0.367,0.841,37,0.268,0.0
29,박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6,40,3,12,131,7,0.559,0.349,0.908,24,0.259,0.429
30,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2,56,0,6,83,6,0.346,0.369,0.715,28,0.305,0.286
31,정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,4,3,85,0,1,109,10,0.368,0.377,0.745,37,0.254,0.333
32,박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7,57,0,1,67,9,0.341,0.344,0.685,34,0.277,0.0
33,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3,62,2,7,107,11,0.47,0.357,0.827,35,0.32,1.0
34,오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7,57,8,2,133,7,0.491,0.345,0.836,31,0.304,0.333
35,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364
35,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3,42,5,10,55,7,0.359,0.351,0.71,28,0.264,0.0
37,배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4,54,0,4,126,2,0.356,0.339,0.695,34,0.281,0.333
38,최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6,66,3,19,96,6,0.505,0.386,0.891,27,0.292,0.5
39,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2,73,5,1,92,9,0.421,0.366,0.787,33,0.282,0.286
40,한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5,66,6,16,137,8,0.478,0.372,0.85,31,0.284,0.111
41,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5,29,0,3,100,8,0.399,0.31,0.709,34,0.299,0.25
42,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2,53,5,5,99,17,0.38,0.335,0.715,36,0.303,0.0
43,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4,39,1,1,56,2,0.331,0.323,0.654,29,0.237,0.0
44,추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4,71,1,13,100,6,0.43,0.382,0.812,29,0.299,0.25
45,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3,31,1,3,126,4,0.342,0.309,0.651,29,0.255,0.75
46,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5,36,2,7,92,20,0.401,0.315,0.716,34,0.296,0.0
47,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2,34,1,11,98,9,0.351,0.326,0.677,27,0.255,0.385
48,김재환,두산,0.248,128,517,448,64,111,24,1,23,206,72,0,4,61,4,4,133,5,0.46,0.34,0.8,22,0.271,0.333
49,송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,1,7,45,6,1,65,8,0.371,0.302,0.673,31,0.269,0.0
50,양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,0,2,32,3,7,101,3,0.432,0.309,0.741,23,0.245,0.0
51,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1,45,4,9,95,9,0.436,0.334,0.77,21,0.234,0.077
52,김태연,한화,0.24,119,464,404,46,97,18,0,7,136,53,3,4,48,1,5,106,9,0.337,0.325,0.662,25,0.239,0.0
53,심우준,KT,0.24,132,449,388,69,93,8,2,4,117,34,11,4,43,0,2,75,11,0.302,0.316,0.618,23,0.175,0.333
