순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
18,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6,48,1,1,44,9,0.386,0.363,0.749,49,0.359,0.5
19,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,39,5,17,142,12,0.633,0.37,1.003,45,0.255,0.0
20,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,35,2,8,52,17,0.496,0.365,0.861,31,0.274,0.182
21,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6,64,3,2,86,11,0.411,0.38,0.791,42,0.302,0.167
22,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,65,3,2,112,14,0.507,0.372,0.879,40,0.292,0.0
23,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0
24,안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4,49,1,6,70,10,0.427,0.37,0.797,44,0.317,1.0
25,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,64,1,5,47,7,0.357,0.401,0.758,32,0.306,0.333
26,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,47,1,9,76,10,0.418,0.357,0.775,44,0.257,0.25
27,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5,67,1,7,114,10,0.453,0.376,0.829,43,0.319,0.25
28,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5,49,0,5,84,11,0.485,0.369,0.854,37,0.243,0.0
29,최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5,50,0,8,66,6,0.42,0.371,0.791,37,0.301,0.286
30,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107,0,7,55,1,20,114,10,0.594,0.384,0.978,39,0.284,0.0
31,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,45,0,4,89,9,0.436,0.363,0.799,33,0.295,0.0
32,강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,59,4,3,127,6,0.48,0.36,0.84,43,0.28,0.25
33,이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3,44,0,3,89,17,0.401,0.361,0.762,27,0.266,1.0
34,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3,30,0,16,101,15,0.393,0.342,0.735,38,0.243,0.0
35,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8,71,1,9,72,8,0.361,0.376,0.737,42,0.248,0.0
36,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9,63,3,6,168,8,0.525,0.368,0.893,30,0.259,0.667
37,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4,32,4,7,158,8,0.476,0.328,0.804,39,0.29,0.2
38,최형우,KIA,0.28,116,487,425,67,119,23,2,22,212,109,0,5,52,4,5,86,5,0.499,0.361,0.86,34,0.331,0.4
39,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49,6,2,50,0,2,71,5,0.418,0.345,0.763,39,0.245,0.2
40,배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7,50,1,4,114,5,0.394,0.355,0.749,30,0.302,1.0
41,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,63,5,2,129,6,0.486,0.364,0.85,34,0.308,0.286
42,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,55,2,0,112,14,0.461,0.349,0.81,25,0.27,0.5
43,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,60,9,11,129,10,0.454,0.356,0.81,35,0.314,0.0
44,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,49,1,8,83,12,0.463,0.351,0.814,29,0.27,0.0
45,장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8,60,1,1,86,8,0.45,0.355,0.805,30,0.271,0.133
46,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1,49,1,14,119,4,0.402,0.352,0.754,36,0.267,0.0
47,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,46,0,11,101,3,0.359,0.336,0.695,35,0.233,0.25
48,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3,47,3,10,120,7,0.365,0.351,0.716,27,0.246,0.0
49,이재현,삼성,0.26,109,458,389,71,101,18,1,14,163,66,0,3,58,1,8,83,8,0.419,0.365,0.784,27,0.33,0.25
50,황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2,34,0,2,95,16,0.383,0.309,0.692,34,0.238,0.2
51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,52,1,10,119,16,0.41,0.337,0.747,33,0.282,0.0
52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,47,2,6,92,12,0.39,0.325,0.715,36,0.308,0.0
53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4,45,0,3,155,2,0.485,0.321,0.806,26,0.31,0.167
54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,51,1,25,111,5,0.379,0.371,0.75,26,0.243,0.0
55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,49,1,7,128,15,0.488,0.316,0.804,34,0.286,0.667
56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3,46,3,9,142,2,0.453,0.314,0.767,28,0.26,0.167
